파카, 60, 161
차파, 48, 145
나하, 75, 167
아타, 55, 182
가하, 51, 160
차나, 62, 181
카카, 77, 160
카차, 79, 151
파차, 72, 175
바다, 94, 171
라타, 88, 162
차카, 72, 191
차아, 81, 196
가라, 40, 198
다라, 42, 143
가차, 50, 188
아나, 56, 144
나라, 73, 152
나가, 94, 184
라타, 45, 166
나바, 66, 171
파라, 77, 195
라타, 82, 174
마나, 89, 173
하파, 87, 172
다하, 52, 197
아가, 76, 151
자마, 86, 194
자파, 53, 158
다하, 81, 169
사카, 69, 148
차다, 56, 153
하다, 55, 179
마라, 70, 177
다자, 52, 171
마사, 43, 160
타다, 42, 174
차나, 84, 163
차아, 97, 147
마라, 77, 155
바타, 48, 145
자자, 75, 178
자마, 60, 176
아자, 42, 170
다가, 93, 155
사다, 59, 193
하가, 53, 195
바라, 65, 192
마타, 81, 171
차아, 59, 148
바타, 58, 150
나아, 41, 148
사아, 85, 159
차가, 62, 199
나다, 87, 187
차마, 64, 165
다마, 40, 180
마자, 84, 149
카사, 60, 177
라파, 76, 144
하카, 69, 188
파아, 92, 197
카가, 46, 141
하다, 88, 192
바하, 85, 177
자아, 91, 196
라아, 47, 153
카파, 56, 165
라차, 84, 180
라마, 63, 149
나가, 41, 192
차다, 91, 186
나카, 46, 142
나파, 75, 181
사가, 84, 143
아파, 75, 185
다가, 40, 158
파하, 81, 175
파가, 74, 154
자하, 97, 156
타바, 65, 144
다하, 74, 192
파하, 50, 197
라라, 49, 140
차자, 91, 156
마다, 64, 143
카파, 74, 190
사나, 97, 197
마자, 79, 165
다하, 83, 176
다자, 73, 169
가아, 78, 172
라카, 49, 151
파카, 63, 158
사바, 93, 193
다마, 90, 143
가가, 55, 190
라사, 68, 196
자자, 50, 163
파파, 89, 181
나바, 46, 187
가자, 74, 142
타사, 83, 165
타타, 80, 150
차차, 82, 183
자나, 59, 149
카차, 46, 188
차바, 66, 149
아가, 47, 182
하사, 58, 158
마자, 58, 196
라파, 73, 199
카가, 48, 167
하라, 81, 179
마파, 47, 168
다카, 92, 153
가바, 70, 186
다아, 43, 172
아라, 64, 170
파아, 71, 155
파자, 64, 143
아가, 47, 159
타다, 65, 168
마아, 78, 196
차차, 98, 182
차라, 42, 167
나카, 87, 192
카다, 57, 185
파사, 84, 188
라마, 99, 142
파카, 45, 197
타사, 54, 148
바파, 94, 192
마카, 55, 164
